user,datetime,timezone,mode,time,score,pieces,lines,level,DAS,ARR,SDF,keys,holds,single,double,triple,tetris,mini t-spin null,mini t-spin single,mini t-spin double,t-spin null,t-spin single,t-spin double,t-spin triple,perfect clear single,perfect clear double,perfect clear triple,perfect clear tetris,max B2B,max combo
aki,2023/07/19 18:00:23,-0400,blitz,120.00313401222229,233708,217,84,9,133,0,0,794,78,10,5,0,0,0,0,0,0,0,8,12,0,6,0,0,3,3
aki,2023/07/19 17:57:26,-0400,blitz,120.00905275344849,190852,213,80,9,133,0,0,748,67,12,4,1,0,1,0,0,0,1,10,9,1,4,0,0,3,3
aki,2023/08/08 14:36:51,-0400,blitz,120.00132846832275,95420,166,63,7,133,0,0,606,57,17,5,1,0,0,0,0,1,0,5,6,1,2,0,0,3,3
test,2023/09/02 19:10:51,-0400,blitz,120.00842332839966,95131,151,55,6,133,0,0,551,56,15,2,0,0,0,0,0,0,3,7,5,0,2,0,0,2,3
aki,2023/07/13 19:58:14,-0400,blitz,120.00577354431152,76332,134,51,6
aki,2023/07/18 18:49:28,-0400,blitz,120.00788021087646,57042,115,41,5,133,0,0,412,36,11,1,0,0,0,0,0,0,3,6,4,1,0,0,0,3,2
aki,2023/08/12 01:40:42,-0400,blitz,120.00041818618774,51134,98,38,4,133,0,0,404,39,4,3,0,0,0,0,0,0,0,5,3,1,4,0,0,1,3
test,2023/09/02 19:06:14,-0400,blitz,120.00185012817383,40312,103,33,4,133,0,0,402,43,6,3,0,0,0,0,0,0,1,4,3,1,1,0,0,2,3
